name,description,Type,Rarity,Attunement,Properties
Enspelled Musket (Level 4),"Weapon (Musket), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,"Loading, Two-Handed"
Enspelled Musket (Level 5),"Weapon (Musket), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,"Loading, Two-Handed"
Enspelled Musket (Level 6),"Weapon (Musket), Legendary (Requires Attunement) Bound into this weapon is a spell of level 6. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,"Loading, Two-Handed"
Enspelled Musket (Level 7),"Weapon (Musket), Legendary (Requires Attunement) Bound into this weapon is a spell of level 7. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,"Loading, Two-Handed"
Enspelled Musket (Level 8),"Weapon (Musket), Legendary (Requires Attunement) Bound into this weapon is a spell of level 8. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",martial,Yes,,"Loading, Two-Handed"
Enspelled Padded Armor (Cantrip),"Armor (Padded Armor), Uncommon (Requires Attunement) Bound into this armor is a cantrip. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 1),"Armor (Padded Armor), Uncommon (Requires Attunement) Bound into this armor is a spell of level 1. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 2),"Armor (Padded Armor), Rare (Requires Attunement) Bound into this armor is a spell of level 2. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 3),"Armor (Padded Armor), Rare (Requires Attunement) Bound into this armor is a spell of level 3. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 4),"Armor (Padded Armor), Very Rare (Requires Attunement) Bound into this armor is a spell of level 4. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 5),"Armor (Padded Armor), Very Rare (Requires Attunement) Bound into this armor is a spell of level 5. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 6),"Armor (Padded Armor), Legendary (Requires Attunement) Bound into this armor is a spell of level 6. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 7),"Armor (Padded Armor), Legendary (Requires Attunement) Bound into this armor is a spell of level 7. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Padded Armor (Level 8),"Armor (Padded Armor), Legendary (Requires Attunement) Bound into this armor is a spell of level 8. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armor, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 18 and its attack bonus is +10.",Light Armor,Yes,,Stealth Disadvantage
Enspelled Pike (Cantrip),"Weapon (Pike), Uncommon (Requires Attunement) Bound into this weapon is a cantrip. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Reach, Two-Handed"
Enspelled Pike (Level 1),"Weapon (Pike), Uncommon (Requires Attunement) Bound into this weapon is a spell of level 1. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Reach, Two-Handed"
Enspelled Pike (Level 2),"Weapon (Pike), Rare (Requires Attunement) Bound into this weapon is a spell of level 2. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 13 and its attack bonus is +5.",martial,Yes,,"Reach, Two-Handed"
Enspelled Pike (Level 3),"Weapon (Pike), Rare (Requires Attunement) Bound into this weapon is a spell of level 3. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,"Reach, Two-Handed"
Enspelled Pike (Level 4),"Weapon (Pike), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 4. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 15 and its attack bonus is +7.",martial,Yes,,"Reach, Two-Handed"
Enspelled Pike (Level 5),"Weapon (Pike), Very Rare (Requires Attunement) Bound into this weapon is a spell of level 5. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn. While holding the weapon, you can expend 1 charge to cast its spell. The spell’s saving throw DC is 17 and its attack bonus is +9.",martial,Yes,,"Reach, Two-Handed"
