name,type,subtype,rarity,cost,weight,description,attunement
Crook of Rao,Wondrous Item,,Artifact (Requires Attunement),"50,001 - 100,000 gp",0," Description Ages ago, the serene god Rao created a tool to shield his fledgling faithful against the evils of the Lower Planes. Yet, as eons passed, mortals developed their own methods of dealing with existential threats, and the crook was largely forgotten. In recent ages, though, the Crook of Rao was rediscovered and leveraged against the rising power of the Witch Queen Iggwilv (one of the names of the wizard Tasha). Although she was defeated, Iggwilv managed to damage the crook during the battle, infecting it with an insidious curse-and the potential for future victory. In the aftermath, the crook was again lost. Occasionally it reappears, but the famed artifact is not what it was. Whether or not the artifact's bearers realize its full threat, few risk using the Crook of Rao -potentially for the final time. Random Properties. The artifact has the following random properties, which you can determine by rolling on the tables in the ""Artifacts"" section of the Dungeon Master's Guide: 2 minor beneficial properties 1 major beneficial property 1 minor detrimental property Spells. The crook has 6 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells (save DC 18) from it: aura of life (2 charges), aura of purity (2 charges), banishment (1 charge), beacon of hope (1 charge), mass cure wounds (3 charges). The crook regains 1d6 expended charges daily at dawn. Absolute Banishment. While you are attuned to the crook and holding it, you can spend 10 minutes to banish all but the mightiest fiends within 1 mile of you. Any fiend with a challenge rating of 19 or higher is unaffected. Each banished fiend is sent back to its home plane and can't return to the plane the Crook of Rao banished it from for 100 years. Failing Matrix. Whenever the Crook of Rao's Absolute Banishment property is used, or when its last charge is expended, roll on the Extraplanar Reversal table. Any creatures conjured as a result of this effect appear in random unoccupied spaces within 60 feet of you and are not under your control. Iggwilv's Curse. When the Crook was last used against Iggwilv, the Witch Queen lashed out at the artifact, infecting its magical matrix. Over the years, this curse has spread within the crook, threatening to violently pervert its ancient magic. If this occurs, the Crook of Rao, as it is currently known, is destroyed, its magical matrix inverting and exploding into a 50-foot-diameter portal. This portal functions as a permanent gate spell cast by Iggwilv. The gate then, once per round on initiative count 20, audibly speaks a fiend's name in Iggwilv's voice, doing so until the gate calls on every fiend ever banished by the Crook of Rao. If the fiend still exists, it is drawn through the gate. This process takes eighteen years to complete, at the end of which the gate becomes a permanent portal to Pazunia, the first layer of the Abyss. Destroying or Repairing the Crook. The Crook of Rao can either be destroyed or repaired by journeying to Mount Celestia and obtaining a tear from the eternally serene god Rao. One way to make the emotionless god cry would be to reunite Rao with the spirit of his first worshiper who sought revelations beyond the multiverse long ago. The Crook dissolves if immersed in the god's tear for a year and a day. If washed in the tear daily for 30 days, the Crook loses its Failing Matrix property. ",TRUE
Crossbow Bolt,Adventuring Gear,Ammunition,,5 cp,0.025, ,FALSE
"Crossbow Bolt, +1",Weapon,Ammunition,Uncommon,101 - 500 gp,0.025," Description You have a bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. ",FALSE
"Crossbow Bolt, +2",Weapon,Ammunition,Rare,"501 - 5,000 gp",0.025," Description You have a bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. ",FALSE
"Crossbow Bolt, +3",Weapon,Ammunition,Very Rare,"5,001 - 50,000 gp",0.025," Description You have a bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. ",FALSE
"Crossbow, Hand",Weapon,Martial Ranged Weapons,,75 gp,3, ,FALSE
"Crossbow, Hand of Warning",Weapon,Martial Ranged Weapons,Uncommon (Requires Attunement),101 - 500 gp,3," Description This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. ",TRUE
"Crossbow, Hand, +1",Weapon,Martial Ranged Weapons,Uncommon,101 - 500 gp,3, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +1 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Hand, +2",Weapon,Martial Ranged Weapons,Rare,"501 - 5,000 gp",3, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +2 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Hand, +3",Weapon,Martial Ranged Weapons,Very Rare,"5,001 - 50,000 gp",3, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +3 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Heavy",Weapon,Martial Ranged Weapons,,50 gp,18, ,FALSE
"Crossbow, Heavy of Warning",Weapon,Martial Ranged Weapons,Uncommon (Requires Attunement),101 - 500 gp,18," Description This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. ",TRUE
"Crossbow, Heavy, +1",Weapon,Martial Ranged Weapons,Uncommon,101 - 500 gp,18, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +1 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Heavy, +2",Weapon,Martial Ranged Weapons,Rare,"501 - 5,000 gp",18, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +2 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Heavy, +3",Weapon,Martial Ranged Weapons,Very Rare,"5,001 - 50,000 gp",18, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +3 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Light",Weapon,Simple Ranged Weapons,,25 gp,5, ,FALSE
"Crossbow, Light of Warning",Weapon,Simple Ranged Weapons,Uncommon (Requires Attunement),101 - 500 gp,5," Description This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. ",TRUE
"Crossbow, Light, +1",Weapon,Simple Ranged Weapons,Uncommon,101 - 500 gp,5, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +1 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Light, +2",Weapon,Simple Ranged Weapons,Rare,"501 - 5,000 gp",5, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +2 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
"Crossbow, Light, +3",Weapon,Simple Ranged Weapons,Very Rare,"5,001 - 50,000 gp",5, Description Magic weapons are unmistakably finer in quality than their ordinary counterparts. You have a +3 bonus to the attack rolls and damage rolls you make with this weapon. ,FALSE
Crowbar,Adventuring Gear,Standard,,2 gp,5, Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied. ,FALSE
Crystal,Adventuring Gear,Arcane Focus,,10 gp,1," An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",FALSE
Crystal Ball,Wondrous Item,,Very Rare (Requires Attunement),"5,001 - 50,000 gp",3," Description The typical crystal ball, a very rare item, is about 6 inches in diameter. While touching it, you can cast the scrying spell (save DC 17) with it. Orb Notes An arcane focus is a special item-an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item-designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus, as described in chapter 10. ",TRUE
